,a1,a2
0,"(628.5, 246)","(680.5, 177)"
1,"(629.5, 246)","(679.0, 177)"
2,"(630.5, 246)","(678.5, 175)"
3,"(631.5, 247)","(679.0, 174)"
4,"(631.5, 247)","(679.0, 174)"
5,"(633.0, 248)","(678.5, 176)"
6,"(633.0, 248)","(679.0, 175)"
7,"(634.0, 247)","(678.5, 173)"
8,"(634.5, 245)","(677.0, 173)"
9,"(636.5, 245)","(677.5, 172)"
10,"(636.5, 244)","(676.5, 172)"
11,"(637.5, 244)","(676.5, 172)"
12,"(638.0, 244)","(676.5, 171)"
13,"(639.5, 245)","(676.0, 171)"
14,"(639.0, 244)","(676.0, 171)"
15,"(639.5, 244)","(676.5, 171)"
16,"(640.5, 243)","(676.5, 172)"
17,"(640.5, 243)","(676.5, 173)"
18,"(641.5, 243)","(676.5, 173)"
19,"(641.5, 244)","(675.5, 174)"
20,"(642.0, 244)","(676.0, 176)"
21,"(642.0, 245)","(676.5, 178)"
22,"(643.0, 245)","(676.5, 178)"
23,"(643.0, 247)","(677.0, 180)"
24,"(643.5, 248)","(676.5, 180)"
25,"(643.5, 248)","(677.0, 180)"
26,"(643.5, 249)","(678.0, 181)"
27,"(643.0, 249)","(678.0, 181)"
28,"(643.5, 248)","(678.5, 184)"
29,"(644.5, 248)","(679.0, 182)"
30,"(645.5, 250)","(680.0, 185)"
31,"(645.5, 250)","(679.0, 183)"
32,"(646.5, 250)","(680.0, 184)"
33,"(646.5, 251)","(680.5, 185)"
34,"(648.5, 251)","(680.5, 186)"
35,"(646.5, 251)","(681.5, 187)"
36,"(648.0, 250)","(681.5, 188)"
37,"(648.5, 251)","(682.0, 188)"
38,"(646.0, 251)","(682.0, 188)"
39,"(647.5, 252)","(682.0, 190)"
40,"(646.5, 254)","(683.0, 190)"
41,"(647.5, 254)","(683.0, 190)"
42,"(646.0, 256)","(683.5, 191)"
43,"(646.5, 255)","(684.0, 194)"
44,"(645.5, 255)","(684.0, 195)"
45,"(644.5, 255)","(684.0, 195)"
46,"(643.5, 256)","(684.0, 196)"
47,"(644.0, 258)","(683.0, 197)"
48,"(643.5, 258)","(682.5, 197)"
49,"(642.5, 259)","(683.5, 200)"
50,"(642.0, 259)","(682.5, 200)"
51,"(642.0, 259)","(681.5, 200)"
52,"(640.0, 260)","(680.5, 201)"
53,"(639.0, 260)","(680.5, 203)"
54,"(638.0, 261)","(679.0, 204)"
55,"(637.0, 261)","(678.5, 204)"
56,"(635.0, 262)","(676.5, 204)"
57,"(633.0, 265)","(673.5, 205)"
58,"(632.0, 265)","(673.0, 207)"
59,"(629.0, 264)","(670.5, 208)"
60,"(627.0, 265)","(669.5, 208)"
61,"(625.0, 266)","(667.5, 209)"
62,"(622.5, 268)","(665.5, 209)"
63,"(617.5, 268)","(663.5, 211)"
64,"(614.5, 269)","(660.5, 213)"
65,"(612.5, 273)","(658.5, 213)"
66,"(608.5, 273)","(656.5, 215)"
67,"(605.5, 273)","(653.5, 215)"
68,"(601.5, 274)","(650.5, 217)"
69,"(594.5, 274)","(646.5, 219)"
70,"(590.5, 274)","(643.5, 219)"
71,"(585.5, 275)","(639.5, 218)"
72,"(580.5, 275)","(635.5, 219)"
73,"(575.5, 276)","(632.5, 220)"
74,"(570.5, 276)","(628.5, 220)"
75,"(563.5, 276)","(623.5, 221)"
76,"(558.5, 276)","(618.5, 221)"
77,"(552.5, 276)","(614.5, 222)"
78,"(546.5, 276)","(610.5, 221)"
79,"(539.5, 277)","(604.5, 221)"
80,"(536.5, 277)","(601.5, 221)"
81,"(532.5, 277)","(598.5, 221)"
82,"(522.5, 277)","(590.5, 222)"
83,"(516.5, 277)","(587.5, 222)"
84,"(509.5, 277)","(581.5, 222)"
85,"(506.5, 277)","(578.5, 222)"
86,"(500.5, 276)","(575.5, 224)"
87,"(496.5, 274)","(571.5, 225)"
88,"(492.5, 275)","(569.5, 224)"
89,"(489.5, 275)","(564.5, 223)"
90,"(485.5, 274)","(563.5, 223)"
91,"(482.5, 273)","(560.5, 225)"
92,"(479.5, 274)","(558.5, 225)"
93,"(476.5, 273)","(556.5, 226)"
94,"(472.5, 272)","(553.5, 225)"
95,"(470.5, 272)","(550.5, 225)"
96,"(467.5, 269)","(548.5, 226)"
97,"(463.5, 270)","(545.5, 226)"
