,tl,bl,tr,br,cb1,cb2
0,"(313.5, 64.0)","(310.0, 83.5)","(522.5, 64.0)","(528.0, 84.5)","(326.5, 144.5)","(436.5, 144.0)"
1,"(313.5, 64.0)","(310.0, 83.5)","(522.5, 64.0)","(529.0, 84.5)","(327.0, 145.5)","(436.5, 144.0)"
2,"(313.5, 64.0)","(310.0, 83.5)","(522.5, 64.0)","(529.0, 84.5)","(327.0, 144.5)","(437.0, 144.0)"
3,"(313.5, 64.0)","(311.0, 82.5)","(522.5, 64.0)","(528.0, 84.5)","(326.5, 144.0)","(436.5, 142.5)"
4,"(313.5, 64.0)","(311.0, 83.5)","(522.5, 64.0)","(528.0, 84.5)","(328.5, 144.5)","(436.5, 142.5)"
5,"(313.5, 64.0)","(311.0, 83.5)","(522.5, 64.0)","(529.0, 84.5)","(327.5, 143.5)","(436.5, 141.5)"
6,"(313.5, 64.0)","(310.0, 83.5)","(523.5, 64.0)","(529.0, 84.5)","(328.0, 143.0)","(436.5, 142.5)"
7,"(313.5, 64.0)","(311.0, 82.5)","(522.5, 64.0)","(529.0, 84.5)","(328.0, 142.5)","(436.5, 142.0)"
8,"(313.5, 64.0)","(311.0, 83.5)","(522.5, 64.0)","(529.0, 84.5)","(328.0, 142.5)","(436.5, 142.0)"
9,"(313.5, 64.0)","(310.0, 83.5)","(522.5, 64.0)","(528.0, 84.5)","(328.0, 142.5)","(436.5, 141.5)"
10,"(313.5, 64.0)","(311.0, 83.5)","(522.5, 64.0)","(528.0, 84.5)","(328.5, 142.5)","(436.0, 141.0)"
11,"(313.5, 65.0)","(311.0, 83.5)","(522.5, 64.0)","(529.0, 84.5)","(329.0, 142.5)","(435.0, 139.5)"
12,"(312.5, 65.0)","(311.0, 83.5)","(522.5, 64.0)","(529.0, 84.5)","(329.0, 142.0)","(435.5, 139.5)"
13,"(313.5, 65.0)","(311.0, 83.5)","(522.5, 65.0)","(529.0, 84.5)","(330.0, 142.5)","(435.5, 139.5)"
14,"(313.5, 65.0)","(310.0, 83.5)","(522.5, 65.0)","(529.0, 84.5)","(330.0, 142.0)","(435.5, 139.5)"
15,"(313.5, 66.0)","(310.0, 84.5)","(522.5, 65.0)","(529.0, 85.5)","(331.0, 142.5)","(435.0, 139.5)"
