frame,tl,tr,br,bl,h1,h2,a1,a2
1,"(312.0, 64.5)","(523.0, 65.5)","(526.5, 83.5)","(309.0, 83.5)","(857.0, 222)","(483.5, 287)","(628.5, 246)","(680.5, 177)"
2,"(313.0, 64.5)","(523.0, 65.5)","(526.5, 83.5)","(309.0, 83.5)","(856.5, 222)","(484.0, 285)","(629.5, 246)","(679.0, 177)"
3,"(313.0, 64.5)","(523.0, 65.5)","(526.5, 83.5)","(309.0, 83.5)","(856.5, 223)","(484.0, 286)","(630.5, 246)","(678.5, 175)"
4,"(313.0, 64.5)","(523.0, 65.5)","(526.5, 83.5)","(309.0, 83.5)","(856.5, 222)","(483.5, 286)","(631.5, 247)","(679.0, 174)"
5,"(313.0, 64.5)","(524.0, 65.5)","(527.5, 83.5)","(310.0, 83.5)","(855.5, 222)","(483.5, 286)","(631.5, 247)","(679.0, 174)"
6,"(313.0, 64.5)","(524.0, 65.5)","(526.5, 83.5)","(310.0, 82.5)","(855.5, 220)","(482.5, 285)","(633.0, 248)","(678.5, 176)"
7,"(313.0, 64.5)","(524.0, 65.5)","(526.5, 83.5)","(310.0, 83.5)","(854.0, 219)","(482.0, 285)","(633.0, 248)","(679.0, 175)"
8,"(313.0, 64.5)","(524.0, 65.5)","(527.5, 83.5)","(310.0, 83.5)","(854.5, 219)","(481.5, 284)","(634.0, 247)","(678.5, 173)"
9,"(313.0, 64.5)","(524.0, 65.5)","(526.5, 83.5)","(309.0, 83.5)","(854.0, 219)","(481.0, 284)","(634.5, 245)","(677.0, 173)"
10,"(313.0, 64.5)","(524.0, 65.5)","(526.5, 83.5)","(310.0, 83.5)","(853.5, 218)","(480.5, 285)","(636.5, 245)","(677.5, 172)"
11,"(313.0, 64.5)","(523.0, 65.5)","(526.5, 83.5)","(310.0, 83.5)","(854.0, 219)","(479.5, 285)","(636.5, 244)","(676.5, 172)"
12,"(313.0, 64.5)","(523.0, 65.5)","(526.5, 83.5)","(310.0, 83.5)","(853.0, 219)","(478.5, 285)","(637.5, 244)","(676.5, 172)"
13,"(312.0, 64.5)","(523.0, 65.5)","(526.5, 83.5)","(310.0, 83.5)","(853.5, 218)","(478.5, 284)","(638.0, 244)","(676.5, 171)"
14,"(312.0, 64.5)","(523.0, 65.5)","(526.5, 83.5)","(310.0, 83.5)","(853.0, 219)","(477.5, 284)","(639.5, 245)","(676.0, 171)"
15,"(312.0, 65.5)","(524.0, 66.5)","(526.5, 83.5)","(309.0, 83.5)","(854.5, 219)","(476.5, 284)","(639.0, 244)","(676.0, 171)"
16,"(312.0, 65.5)","(524.0, 65.5)","(526.5, 84.5)","(309.0, 84.5)","(855.0, 219)","(475.5, 284)","(639.5, 244)","(676.5, 171)"
17,"(312.0, 65.5)","(524.0, 66.5)","(526.5, 84.5)","(309.0, 84.5)","(855.5, 218)","(475.5, 284)","(640.5, 243)","(676.5, 172)"
18,"(312.0, 65.5)","(524.0, 67.5)","(526.5, 84.5)","(309.0, 84.5)","(857.0, 219)","(476.0, 285)","(640.5, 243)","(676.5, 173)"
19,"(312.0, 66.5)","(524.0, 66.5)","(526.5, 85.5)","(310.0, 84.5)","(859.5, 220)","(476.0, 285)","(641.5, 243)","(676.5, 173)"
20,"(312.0, 66.5)","(523.0, 67.5)","(527.5, 85.5)","(310.0, 86.5)","(863.5, 221)","(475.0, 286)","(641.5, 244)","(675.5, 174)"
21,"(312.0, 67.5)","(523.0, 67.5)","(526.5, 85.5)","(310.0, 85.5)","(866.0, 223)","(475.0, 285)","(642.0, 244)","(676.0, 176)"
22,"(312.0, 67.5)","(524.0, 68.5)","(526.5, 86.5)","(310.0, 86.5)","(870.5, 224)","(474.5, 287)","(642.0, 245)","(676.5, 178)"
23,"(312.0, 68.5)","(524.0, 69.5)","(526.5, 86.5)","(310.0, 86.5)","(873.0, 222)","(474.5, 288)","(643.0, 245)","(676.5, 178)"
24,"(313.0, 67.5)","(524.0, 68.5)","(526.5, 87.5)","(310.0, 87.5)","(876.0, 221)","(473.0, 288)","(643.0, 247)","(677.0, 180)"
25,"(312.0, 69.5)","(524.0, 69.5)","(526.5, 87.5)","(310.0, 87.5)","(879.5, 224)","(473.5, 289)","(643.5, 248)","(676.5, 180)"
26,"(313.0, 68.5)","(524.0, 70.5)","(526.5, 87.5)","(309.0, 88.5)","(881.0, 223)","(473.0, 288)","(643.5, 248)","(677.0, 180)"
27,"(313.0, 69.5)","(524.0, 70.5)","(526.5, 88.5)","(310.0, 88.5)","(884.5, 226)","(472.5, 288)","(643.5, 249)","(678.0, 181)"
28,"(313.0, 69.5)","(524.0, 70.5)","(527.5, 88.5)","(310.0, 88.5)","(888.5, 229)","(472.0, 288)","(643.0, 249)","(678.0, 181)"
29,"(313.0, 70.5)","(524.0, 71.5)","(526.5, 88.5)","(310.0, 89.5)","(891.0, 229)","(471.5, 289)","(643.5, 248)","(678.5, 184)"
30,"(312.0, 70.5)","(524.0, 71.5)","(526.5, 89.5)","(310.0, 88.5)","(894.5, 231)","(471.0, 289)","(644.5, 248)","(679.0, 182)"
31,"(313.0, 70.5)","(524.0, 71.5)","(526.5, 89.5)","(309.0, 90.5)","(898.5, 231)","(471.5, 289)","(645.5, 250)","(680.0, 185)"
32,"(313.0, 70.5)","(524.0, 71.5)","(526.5, 89.5)","(310.0, 89.5)","(898.5, 234)","(470.5, 289)","(645.5, 250)","(679.0, 183)"
33,"(313.0, 71.5)","(524.0, 71.5)","(526.5, 90.5)","(310.0, 90.5)","(903.5, 232)","(470.5, 289)","(646.5, 250)","(680.0, 184)"
34,"(312.0, 70.5)","(524.0, 72.5)","(526.5, 89.5)","(310.0, 90.5)","(903.5, 234)","(468.5, 289)","(646.5, 251)","(680.5, 185)"
35,"(313.0, 71.5)","(524.0, 72.5)","(526.5, 90.5)","(309.0, 90.5)","(906.5, 236)","(468.5, 290)","(648.5, 251)","(680.5, 186)"
36,"(313.0, 71.5)","(523.0, 71.5)","(526.5, 90.5)","(310.0, 90.5)","(909.5, 235)","(468.0, 290)","(646.5, 251)","(681.5, 187)"
